report_code,report_title,start_time_utc,end_time_utc,zone_id,zone_name,raid_night_date,primary_difficulty,total_pulls,boss_kills,total_wipes,total_fight_seconds,unique_bosses_engaged,unique_bosses_killed
AHd6qkagt8KLr3mF,Amirdrussy 19-06,2024-06-19T17:47:43.636Z,2024-06-19T19:09:27.802Z,35,"Amirdrassil, the Dream's Hope",2024-06-19,Heroic,10,9,1,2165,9,9
BZKL72MRt8y3gDGq,2025-01-06 SC comeback @ silken court,2025-01-06T19:02:52.769Z,2025-01-06T22:00:49.791Z,38,Nerub-ar Palace,2025-01-06,Mythic,41,0,41,4405,1,0
nygAQKkaVYH8CPmc,2022-12-19 Raszageth,2022-12-19T18:56:17.635Z,2022-12-19T22:14:08.811Z,31,Vault of the Incarnates,2022-12-19,Heroic,15,4,11,4032,5,4
9qcVWXmRNvMkFYrL,Last raid of 2k24 Wooooooo,2024-12-29T18:53:40.730Z,2024-12-29T21:37:24.958Z,38,Nerub-ar Palace,2024-12-29,Heroic,17,12,5,3691,8,8
RhgJnFZV4AxXHcGN,2024-05-06 aberrus myffic,2024-05-06T17:58:54.945Z,2024-05-06T20:38:20.724Z,33,"Aberrus, the Shadowed Crucible",2024-05-06,Mythic,21,4,17,4470,5,4
MzG6ZPrTyWFvx3Q2,Mythic Tarragrue,2021-08-02T18:29:43.060Z,2021-08-02T18:36:26.960Z,28,Sanctum of Domination,2021-08-02,Mythic,1,1,0,403,1,1
28qFvPdxwz64jCpk,CASTLE NATHRIA GONE,2021-10-07T20:18:55.593Z,2021-10-07T21:42:27.945Z,26,Castle Nathria,2021-10-07,Heroic,14,10,4,2284,10,10
RKabxztMd9yB6jFg,Sally D meets Student C - 10-27,2025-10-27T18:49:52.553Z,2025-10-27T22:00:44.902Z,44,Manaforge Omega,2025-10-27,Mythic,40,0,40,5941,1,0
TP9b1Y8AhR7ptgw4,2024-09-16 HC second boss onwards,2024-09-16T17:59:07.496Z,2024-09-16T21:04:04.827Z,38,Nerub-ar Palace,2024-09-16,Heroic,22,4,18,4815,5,4
HBMFTXZW3cLNdCkn,2023-10-10 SARKARETH!!!!,2023-10-10T17:51:40.778Z,2023-10-10T21:04:07.590Z,33,"Aberrus, the Shadowed Crucible",2023-10-10,Mythic,25,0,25,7183,1,0
kpwdZ6FPB1gzDC8M,2023-06-12,2023-06-12T17:50:52.807Z,2023-06-12T21:00:23.808Z,33,"Aberrus, the Shadowed Crucible",2023-06-12,Mythic,29,1,28,5723,2,1
CXqwAV2pmGaTJWvL,2022-12-18 normal,2022-12-18T18:51:52.536Z,2022-12-18T22:09:47.074Z,31,Vault of the Incarnates,2022-12-18,Normal,20,3,17,5120,4,3
cPzhGnZxNy3pgKt2,CN Mythic Sun King,2021-03-01T18:57:50.358Z,2021-03-01T22:31:02.802Z,26,Castle Nathria,2021-03-01,Mythic,31,1,30,4900,1,1
FRAXQ1BV64J3P9zh,2023-02-08,2023-02-08T18:47:16.690Z,2023-02-08T22:03:25.735Z,31,Vault of the Incarnates,2023-02-08,Mythic,23,5,18,5252,6,5
