encounter_id,boss_name,zone_name,difficulty,difficulty_label,raid_night_date,report_code,report_title,start_time_utc,end_time_utc,pulls_on_night,kills_on_night,wipes_on_night,best_wipe_pct_on_night,avg_wipe_pct_on_night,best_boss_hp_remaining,is_kill_on_night,kill_duration_seconds,longest_pull_seconds
2383,Hungering Destroyer,Castle Nathria,4,Heroic,2021-02-28,HZ7GdwbgWhLKnqvB,CN heroic alt run,2021-02-28T19:01:02.083Z,2021-02-28T19:51:06.496Z,1,1,0,null,null,0.0,true,258,258
2418,Huntsman Altimor,Castle Nathria,4,Heroic,2021-02-28,HZ7GdwbgWhLKnqvB,CN heroic alt run,2021-02-28T19:01:02.083Z,2021-02-28T19:51:06.496Z,3,1,2,33.47,37.72,0.0,true,295,295
2417,Stone Legion Generals,Castle Nathria,4,Heroic,2021-02-28,d3PAtMnvbDKqFr9Y,CN heroic alt run 3,2021-02-28T20:11:32.287Z,2021-02-28T23:18:43.216Z,5,1,4,9.29,50.65,0.0,true,496,560
2399,Sludgefist,Castle Nathria,4,Heroic,2021-02-28,d3PAtMnvbDKqFr9Y,CN heroic alt run 3,2021-02-28T20:11:32.287Z,2021-02-28T23:18:43.216Z,2,1,1,30.79,30.79,0.0,true,328,328
2402,Sun King's Salvation,Castle Nathria,4,Heroic,2021-02-28,d3PAtMnvbDKqFr9Y,CN heroic alt run 3,2021-02-28T20:11:32.287Z,2021-02-28T23:18:43.216Z,2,1,1,89.99,89.99,0.0,true,338,434
2405,Artificer Xy'mox,Castle Nathria,4,Heroic,2021-02-28,d3PAtMnvbDKqFr9Y,CN heroic alt run 3,2021-02-28T20:11:32.287Z,2021-02-28T23:18:43.216Z,3,1,2,0.02,0.55,0.0,true,358,482
2412,The Council of Blood,Castle Nathria,4,Heroic,2021-02-28,d3PAtMnvbDKqFr9Y,CN heroic alt run 3,2021-02-28T20:11:32.287Z,2021-02-28T23:18:43.216Z,1,1,0,null,null,0.0,true,405,405
2406,Lady Inerva Darkvein,Castle Nathria,4,Heroic,2021-02-28,d3PAtMnvbDKqFr9Y,CN heroic alt run 3,2021-02-28T20:11:32.287Z,2021-02-28T23:18:43.216Z,3,1,2,7.78,27.08,0.0,true,308,308
2406,Lady Inerva Darkvein,Castle Nathria,4,Heroic,2021-02-28,wKCG1QTxqJ4zHF3p,CN heroic alt run 2,2021-02-28T19:51:51.511Z,2021-02-28T20:11:02.961Z,2,0,2,16.03,17.23,16.03,false,null,286
2402,Sun King's Salvation,Castle Nathria,5,Mythic,2021-03-01,cPzhGnZxNy3pgKt2,CN Mythic Sun King,2021-03-01T18:57:50.358Z,2021-03-01T22:31:02.802Z,31,1,30,27.48,56.3,0.0,true,309,309
2398,Shriekwing,Castle Nathria,5,Mythic,2021-03-03,KqxgXZnbkmTNdr6A,CN Heroic SLG + Sire > Mythic reclear,2021-03-03T19:03:07.453Z,2021-03-03T22:39:19.211Z,1,1,0,null,null,0.0,true,321,321
2406,Lady Inerva Darkvein,Castle Nathria,5,Mythic,2021-03-03,KqxgXZnbkmTNdr6A,CN Heroic SLG + Sire > Mythic reclear,2021-03-03T19:03:07.453Z,2021-03-03T22:39:19.211Z,19,0,19,19.46,52.57,19.46,false,null,275
