player_name,player_class,total_deaths,kills_tracked,deaths_per_kill,most_common_killing_blow,most_common_killing_blow_count,top_killing_blows_json,zones_died_in,last_death_timestamp_ms
Daydreaming,Warrior,114,67,1.7,Lair Weaving,10,"[{""name"":""Lair Weaving"",""count"":10},{""name"":""Astral Surge"",""count"":7},{""name"":""Enraged Tantrum"",""count"":6}]","[""Manaforge Omega""]",15235262
Neyaara,Paladin,759,450,1.69,Oblivion,55,"[{""name"":""Oblivion"",""count"":55},{""name"":""Betrayal"",""count"":29},{""name"":""Reckless Impact"",""count"":28}]","[""Amirdrassil, the Dream's Hope"",""Blackrock Depths"",""Manaforge Omega"",""Aberrus, the Shadowed Crucible"",""Liberation of Undermine"",""Nerub-ar Palace"",""Vault of the Incarnates""]",20043599
Jonyboy,Warrior,49,29,1.69,Astral Surge,5,"[{""name"":""Astral Surge"",""count"":5},{""name"":""Oblivion"",""count"":3},{""name"":""Devourer's Ire"",""count"":3}]","[""Liberation of Undermine"",""Manaforge Omega""]",6699475
Televisions,Priest,1177,702,1.68,Oblivion,51,"[{""name"":""Oblivion"",""count"":51},{""name"":""Reckless Impact"",""count"":46},{""name"":""Melee"",""count"":42}]","[""Vault of the Incarnates"",""Blackrock Depths"",""Nerub-ar Palace"",""Manaforge Omega"",""Liberation of Undermine""]",24950822
Jadsrune,DeathKnight,84,50,1.68,Melee,19,"[{""name"":""Melee"",""count"":19},{""name"":""Caustic Phlegm"",""count"":5},{""name"":""Cosmic Radiation"",""count"":4}]","[""Manaforge Omega"",""VS / DR / MQD""]",10847671
Jointsuckerr,Shaman,50,30,1.67,Caustic Phlegm,3,"[{""name"":""Caustic Phlegm"",""count"":3},{""name"":""Reckless Impact"",""count"":3},{""name"":""Cannibalized Essence"",""count"":2}]","[""VS / DR / MQD"",""Nerub-ar Palace""]",9810861
Chubbyweaver,Monk,5,3,1.67,Shakedown,1,"[{""name"":""Shakedown"",""count"":1},{""name"":""Giga Coils"",""count"":1},{""name"":""Scatterblast Canisters"",""count"":1}]","[""Liberation of Undermine""]",9644434
Yellowbb,Paladin,13,8,1.63,Volatile Concoction,2,"[{""name"":""Volatile Concoction"",""count"":2},{""name"":""Reactive Froth"",""count"":2},{""name"":""Acrid Presence"",""count"":1}]","[""Nerub-ar Palace""]",8927593
Lenus,DemonHunter,1325,817,1.62,Melee,191,"[{""name"":""Melee"",""count"":191},{""name"":""Oblivion"",""count"":86},{""name"":""Betrayal"",""count"":32}]","[""Liberation of Undermine"",""Amirdrassil, the Dream's Hope"",""VS / DR / MQD"",""Nerub-ar Palace"",""Vault of the Incarnates"",""Manaforge Omega"",""Aberrus, the Shadowed Crucible"",""Blackrock Depths""]",24950621
Iustitiæ,Warrior,734,457,1.61,Melee,59,"[{""name"":""Melee"",""count"":59},{""name"":""Betrayal"",""count"":33},{""name"":""Reckless Impact"",""count"":32}]","[""Liberation of Undermine"",""Nerub-ar Palace"",""Blackrock Depths""]",21485890
Everrin,Evoker,79,49,1.61,Dark Upheaval,6,"[{""name"":""Dark Upheaval"",""count"":6},{""name"":""Void Breath"",""count"":4},{""name"":""Void Barrage"",""count"":3}]","[""VS / DR / MQD""]",10850545
Estrogel,Evoker,37,23,1.61,Dark Upheaval,4,"[{""name"":""Dark Upheaval"",""count"":4},{""name"":""Void Patch"",""count"":3},{""name"":""Voidlight Convergence"",""count"":2}]","[""VS / DR / MQD""]",9787687
Swannie,Hunter,69,43,1.6,Thunderdrum Salvo,5,"[{""name"":""Thunderdrum Salvo"",""count"":5},{""name"":""Pay-Line"",""count"":4},{""name"":""Discarded Doomsplosive"",""count"":4}]","[""Liberation of Undermine""]",11546622
Netwoodle,Mage,11,7,1.57,Volatile Concoction,3,"[{""name"":""Volatile Concoction"",""count"":3},{""name"":""Reaper"",""count"":2},{""name"":""Entropic Barrage"",""count"":1}]","[""Nerub-ar Palace""]",7252949
Rzoc,Priest,11,7,1.57,Hot Garbage,2,"[{""name"":""Hot Garbage"",""count"":2},{""name"":""Unrelenting CAR-nage"",""count"":2},{""name"":""Lingering Voltage"",""count"":1}]","[""Liberation of Undermine""]",9177076
Thype,Mage,11,7,1.57,March of the Endless,2,"[{""name"":""March of the Endless"",""count"":2},{""name"":""Umbral Collapse"",""count"":2},{""name"":""Midnight Manifestation"",""count"":1}]","[""VS / DR / MQD""]",10320706
Zób,Shaman,11,7,1.57,Web Blades,2,"[{""name"":""Web Blades"",""count"":2},{""name"":""Venom Nova"",""count"":2},{""name"":""Black Blood"",""count"":1}]","[""Nerub-ar Palace""]",9344994
Bigboiples,Druid,1244,800,1.56,Oblivion,48,"[{""name"":""Oblivion"",""count"":48},{""name"":""Melee"",""count"":40},{""name"":""Reckless Impact"",""count"":40}]","[""VS / DR / MQD"",""Manaforge Omega"",""Nerub-ar Palace"",""Blackrock Depths"",""Liberation of Undermine"",""Vault of the Incarnates"",""Amirdrassil, the Dream's Hope"",""Aberrus, the Shadowed Crucible""]",24950820
Zren,Hunter,76,49,1.55,Dark Upheaval,6,"[{""name"":""Dark Upheaval"",""count"":6},{""name"":""Caustic Phlegm"",""count"":5},{""name"":""Void Breath"",""count"":4}]","[""VS / DR / MQD""]",10826411
Megachomber,DeathKnight,75,49,1.53,Void Breath,5,"[{""name"":""Void Breath"",""count"":5},{""name"":""Dark Upheaval"",""count"":5},{""name"":""Caustic Phlegm"",""count"":4}]","[""VS / DR / MQD""]",10852190
Karllia,DemonHunter,96,63,1.52,Oblivion,46,"[{""name"":""Oblivion"",""count"":46},{""name"":""Devour"",""count"":21},{""name"":""Cosmic Radiation"",""count"":21}]","[""Manaforge Omega"",""VS / DR / MQD""]",25131936
Lunasnow,Mage,74,49,1.51,Melee,8,"[{""name"":""Melee"",""count"":8},{""name"":""Void Breath"",""count"":4},{""name"":""March of the Endless"",""count"":4}]","[""VS / DR / MQD""]",10844947
Bensvoker,Evoker,33,22,1.5,Dark Viscera,6,"[{""name"":""Dark Viscera"",""count"":6},{""name"":""Reaper"",""count"":5},{""name"":""Web Eruption"",""count"":4}]","[""Amirdrassil, the Dream's Hope"",""Nerub-ar Palace""]",9184502
Temiti,Druid,18,12,1.5,Void Howl,4,"[{""name"":""Void Howl"",""count"":4},{""name"":""Gravity Collapse"",""count"":2},{""name"":""Melee"",""count"":2}]","[""VS / DR / MQD""]",9837212
Desiring,Rogue,12,8,1.5,Volcanic Blast,2,"[{""name"":""Volcanic Blast"",""count"":2},{""name"":""Electrical Discharge"",""count"":1},{""name"":""Crumbling Ceiling"",""count"":1}]","[""Blackrock Depths""]",10286012
Crustygems,Mage,12,8,1.5,Melee,2,"[{""name"":""Melee"",""count"":2},{""name"":""Shrapnel Blast"",""count"":1},{""name"":""Incineration"",""count"":1}]","[""Blackrock Depths""]",10287360
