player_name,realm_slug,region,profile_url,season,snapshot_at,score_all,score_dps,score_healer,score_tank,world_rank,region_rank,realm_rank,total_runs,timed_runs,untimed_runs,highest_timed_level,highest_untimed_level,most_common_key_level,most_common_key_count,best_run_dungeon,best_run_short_name,best_run_level,best_run_score,best_run_timed,best_run_completed_at,best_run_url
Turbosaga,twisting-nether,eu,https://raider.io/characters/eu/twisting-nether/Turbosaga,current,2026-04-19T22:49:32.697Z,0.0,0.0,0.0,0.0,0,0,0,0,0,0,null,null,null,0,null,null,null,null,null,null,null
Tweet,twisting-nether,eu,https://raider.io/characters/eu/twisting-nether/Tweet,current,2026-04-19T22:49:32.697Z,0.0,0.0,0.0,0.0,0,0,0,0,0,0,null,null,null,0,null,null,null,null,null,null,null
Tylenne,silvermoon,eu,https://raider.io/characters/eu/silvermoon/Tylenne,current,2026-04-19T22:49:32.697Z,0.0,0.0,0.0,0.0,0,0,0,0,0,0,null,null,null,0,null,null,null,null,null,null,null
Typ,ravencrest,eu,https://raider.io/characters/eu/ravencrest/Typ,current,2026-04-19T22:49:32.697Z,3351.8,3351.8,0.0,0.0,64988,25436,853,14,12,2,16,17,15,7,Seat of the Triumvirate,SEAT,16,428.8,true,2026-04-18T21:36:39.000Z,https://raider.io/mythic-plus-runs/season-mn-1/14479250-16-seat-of-the-triumvirate
Typez,ravencrest,eu,https://raider.io/characters/eu/ravencrest/Typez,current,2026-04-19T22:49:32.697Z,0.0,0.0,0.0,0.0,0,0,0,0,0,0,null,null,null,0,null,null,null,null,null,null,null
Unrecorded,twisting-nether,eu,https://raider.io/characters/eu/twisting-nether/Unrecorded,current,2026-04-19T22:49:32.697Z,0.0,0.0,0.0,0.0,0,0,0,0,0,0,null,null,null,0,null,null,null,null,null,null,null
Uppies,twisting-nether,eu,https://raider.io/characters/eu/twisting-nether/Uppies,current,2026-04-19T22:49:32.697Z,0.0,0.0,0.0,0.0,0,0,0,0,0,0,null,null,null,0,null,null,null,null,null,null,null
Uvuwevwevwe,twisting-nether,eu,https://raider.io/characters/eu/twisting-nether/Uvuwevwevwe,current,2026-04-19T22:49:32.697Z,0.0,0.0,0.0,0.0,0,0,0,0,0,0,null,null,null,0,null,null,null,null,null,null,null
Vaivo,twisting-nether,eu,https://raider.io/characters/eu/twisting-nether/Vaivo,current,2026-04-19T22:49:32.697Z,0.0,0.0,0.0,0.0,0,0,0,0,0,0,null,null,null,0,null,null,null,null,null,null,null
Valoura,twisting-nether,eu,https://raider.io/characters/eu/twisting-nether/Valoura,current,2026-04-19T22:49:32.697Z,0.0,0.0,0.0,0.0,0,0,0,0,0,0,null,null,null,0,null,null,null,null,null,null,null
Vezren,ravencrest,eu,https://raider.io/characters/eu/ravencrest/Vezren,current,2026-04-19T22:49:32.697Z,0.0,0.0,0.0,0.0,0,0,0,0,0,0,null,null,null,0,null,null,null,null,null,null,null
Vikingen,twisting-nether,eu,https://raider.io/characters/eu/twisting-nether/Vikingen,current,2026-04-19T22:49:32.697Z,0.0,0.0,0.0,0.0,0,0,0,0,0,0,null,null,null,0,null,null,null,null,null,null,null
Visunje,silvermoon,eu,https://raider.io/characters/eu/silvermoon/Visunje,current,2026-04-19T22:49:32.697Z,0.0,0.0,0.0,0.0,0,0,0,0,0,0,null,null,null,0,null,null,null,null,null,null,null
Vitohunn,twisting-nether,eu,https://raider.io/characters/eu/twisting-nether/Vitohunn,current,2026-04-19T22:49:32.697Z,0.0,0.0,0.0,0.0,0,0,0,0,0,0,null,null,null,0,null,null,null,null,null,null,null
Voidlooper,twisting-nether,eu,https://raider.io/characters/eu/twisting-nether/Voidlooper,current,2026-04-19T22:49:32.697Z,0.0,0.0,0.0,0.0,0,0,0,0,0,0,null,null,null,0,null,null,null,null,null,null,null
Vrachdoktor,twisting-nether,eu,https://raider.io/characters/eu/twisting-nether/Vrachdoktor,current,2026-04-19T22:49:32.697Z,0.0,0.0,0.0,0.0,0,0,0,0,0,0,null,null,null,0,null,null,null,null,null,null,null
Wafflebro,twisting-nether,eu,https://raider.io/characters/eu/twisting-nether/Wafflebro,current,2026-04-19T22:49:32.697Z,0.0,0.0,0.0,0.0,0,0,0,0,0,0,null,null,null,0,null,null,null,null,null,null,null
Wahhn,twisting-nether,eu,https://raider.io/characters/eu/twisting-nether/Wahhn,current,2026-04-19T22:49:32.697Z,0.0,0.0,0.0,0.0,0,0,0,0,0,0,null,null,null,0,null,null,null,null,null,null,null
Wahners,twisting-nether,eu,https://raider.io/characters/eu/twisting-nether/Wahners,current,2026-04-19T22:49:32.697Z,0.0,0.0,0.0,0.0,0,0,0,0,0,0,null,null,null,0,null,null,null,null,null,null,null
Waka,turalyon,eu,https://raider.io/characters/eu/turalyon/Waka,current,2026-04-19T22:49:32.697Z,261.8,261.8,0.0,0.0,2482034,895610,10454,1,1,0,7,null,7,1,Maisara Caverns,MC,7,261.8,true,2026-03-26T22:51:22.000Z,https://raider.io/mythic-plus-runs/season-mn-1/1318500-7-maisara-caverns
Wanchan,twisting-nether,eu,https://raider.io/characters/eu/twisting-nether/Wanchan,current,2026-04-19T22:49:32.697Z,0.0,0.0,0.0,0.0,0,0,0,0,0,0,null,null,null,0,null,null,null,null,null,null,null
Wannerdk,twisting-nether,eu,https://raider.io/characters/eu/twisting-nether/Wannerdk,current,2026-04-19T22:49:32.697Z,0.0,0.0,0.0,0.0,0,0,0,0,0,0,null,null,null,0,null,null,null,null,null,null,null
Wannerlock,twisting-nether,eu,https://raider.io/characters/eu/twisting-nether/Wannerlock,current,2026-04-19T22:49:32.697Z,0.0,0.0,0.0,0.0,0,0,0,0,0,0,null,null,null,0,null,null,null,null,null,null,null
Wanners,twisting-nether,eu,https://raider.io/characters/eu/twisting-nether/Wanners,current,2026-04-19T22:49:32.697Z,0.0,0.0,0.0,0.0,0,0,0,0,0,0,null,null,null,0,null,null,null,null,null,null,null
Wardprowse,twisting-nether,eu,https://raider.io/characters/eu/twisting-nether/Wardprowse,current,2026-04-19T22:49:32.697Z,0.0,0.0,0.0,0.0,0,0,0,0,0,0,null,null,null,0,null,null,null,null,null,null,null
Warmcarling,twisting-nether,eu,https://raider.io/characters/eu/twisting-nether/Warmcarling,current,2026-04-19T22:49:32.697Z,0.0,0.0,0.0,0.0,0,0,0,0,0,0,null,null,null,0,null,null,null,null,null,null,null
