encounter_id,boss_name,zone_name,difficulty,difficulty_label,total_wipes,avg_boss_pct,pct_wipes_phase_1,pct_wipes_phase_2,pct_wipes_phase_3_plus,wipes_lt_1min,wipes_1_3min,wipes_3_5min,wipes_5plus_min,last_week_avg_boss_pct,progress_trend
3014,One-Armed Bandit,Liberation of Undermine,3,Normal,2,51.2,50.0,50.0,0.0,0,1,0,1,3.5,-47.65
3015,"Mug'Zee, Heads of Security",Liberation of Undermine,3,Normal,5,60.9,80.0,0.0,20.0,1,3,0,1,80.6,19.64
3016,Chrome King Gallywix,Liberation of Undermine,3,Normal,5,71.8,100.0,0.0,0.0,2,2,1,0,53.3,-18.47
3009,Vexie and the Geargrinders,Liberation of Undermine,4,Heroic,2,84.5,100.0,0.0,0.0,1,1,0,0,100.0,15.49
3010,Cauldron of Carnage,Liberation of Undermine,4,Heroic,7,60.2,100.0,0.0,0.0,2,1,3,1,100.0,39.76
3011,Rik Reverb,Liberation of Undermine,4,Heroic,7,27.0,42.9,57.1,0.0,0,2,4,1,19.2,-7.83
3012,Stix Bunkjunker,Liberation of Undermine,4,Heroic,15,47.8,100.0,0.0,0.0,3,1,9,2,62.3,14.54
3013,Sprocketmonger Lockenstock,Liberation of Undermine,4,Heroic,5,56.3,100.0,0.0,0.0,1,1,3,0,15.0,-41.3
3014,One-Armed Bandit,Liberation of Undermine,4,Heroic,17,60.9,94.1,5.9,0.0,1,10,5,1,51.8,-9.06
3015,"Mug'Zee, Heads of Security",Liberation of Undermine,4,Heroic,24,29.8,29.2,0.0,70.8,0,6,6,12,14.5,-15.34
3016,Chrome King Gallywix,Liberation of Undermine,4,Heroic,65,61.5,46.2,40.0,13.8,5,37,10,13,49.3,-12.17
3009,Vexie and the Geargrinders,Liberation of Undermine,5,Mythic,9,32.6,100.0,0.0,0.0,0,2,0,7,7.1,-25.47
3010,Cauldron of Carnage,Liberation of Undermine,5,Mythic,28,48.4,78.6,21.4,0.0,0,10,10,8,32.1,-16.26
3011,Rik Reverb,Liberation of Undermine,5,Mythic,51,44.6,56.9,43.1,0.0,0,26,19,6,26.1,-18.54
3012,Stix Bunkjunker,Liberation of Undermine,5,Mythic,107,51.2,100.0,0.0,0.0,3,42,49,13,43.3,-7.95
3013,Sprocketmonger Lockenstock,Liberation of Undermine,5,Mythic,161,63.7,95.0,5.0,0.0,27,91,42,1,47.5,-16.16
3014,One-Armed Bandit,Liberation of Undermine,5,Mythic,85,64.6,92.9,7.1,0.0,0,63,16,6,49.5,-15.06
3015,"Mug'Zee, Heads of Security",Liberation of Undermine,5,Mythic,200,49.8,68.5,3.0,28.5,19,86,74,21,45.1,-4.75
3016,Chrome King Gallywix,Liberation of Undermine,5,Mythic,115,72.0,99.1,0.9,0.0,9,75,22,9,69.9,-2.06
3129,Plexus Sentinel,Manaforge Omega,3,Normal,1,77.6,100.0,0.0,0.0,1,0,0,0,77.6,0.0
3132,Forgeweaver Araz,Manaforge Omega,3,Normal,1,6.4,0.0,100.0,0.0,0,0,1,0,6.4,0.0
3133,Fractillus,Manaforge Omega,3,Normal,3,24.8,100.0,0.0,0.0,0,1,1,1,16.2,-8.58
3135,"Dimensius, the All-Devouring",Manaforge Omega,3,Normal,8,61.2,75.0,12.5,12.5,3,3,1,1,34.7,-26.51
3122,The Soul Hunters,Manaforge Omega,4,Heroic,2,57.6,100.0,0.0,0.0,0,1,1,0,47.5,-10.07
3131,Loom'ithar,Manaforge Omega,4,Heroic,1,70.8,100.0,0.0,0.0,0,1,0,0,70.8,0.0
3132,Forgeweaver Araz,Manaforge Omega,4,Heroic,9,30.7,22.2,77.8,0.0,0,1,0,8,31.0,0.29
3133,Fractillus,Manaforge Omega,4,Heroic,6,24.7,100.0,0.0,0.0,0,1,4,1,15.5,-9.23
3134,Nexus-King Salhadaar,Manaforge Omega,4,Heroic,18,40.7,38.9,27.8,33.3,2,3,7,6,37.2,-3.48
