player_name,player_class,role,primary_spec,encounter_id,boss_name,zone_name,difficulty,difficulty_label,kills_on_boss,avg_throughput_per_second,best_throughput_per_second,latest_throughput_per_second,throughput_trend,avg_rank_percent,best_rank_percent,avg_item_level,first_kill_date,latest_kill_date
Axonea,Shaman,dps,Enhancement,2920,Nexus-Princess Ky'veza,Nerub-ar Palace,3,Normal,3,829332,913398,913398,10.1,89.0,95.0,599.3,2024-09-11,2024-09-18
Larssonhman,Shaman,dps,Enhancement,2920,Nexus-Princess Ky'veza,Nerub-ar Palace,3,Normal,3,824186,1088833,1088833,32.1,71.0,95.0,596.0,2024-09-17,2024-10-02
Feilfarga,Hunter,dps,Marksmanship,2920,Nexus-Princess Ky'veza,Nerub-ar Palace,3,Normal,1,821260,821260,821260,null,97.0,97.0,607.0,2024-09-15,2024-09-15
Samarie,Warrior,dps,Arms,2920,Nexus-Princess Ky'veza,Nerub-ar Palace,3,Normal,1,821093,821093,821093,null,67.0,67.0,612.0,2024-09-29,2024-09-29
Televisions,Priest,dps,Shadow,2920,Nexus-Princess Ky'veza,Nerub-ar Palace,3,Normal,5,820096,965851,965851,17.8,93.6,98.0,605.4,2024-09-11,2024-09-25
Wunderwalker,Monk,dps,Windwalker,2920,Nexus-Princess Ky'veza,Nerub-ar Palace,3,Normal,1,809300,809300,809300,null,96.0,96.0,595.0,2024-09-15,2024-09-15
Northlane,DeathKnight,dps,Frost,2920,Nexus-Princess Ky'veza,Nerub-ar Palace,3,Normal,2,803530,853701,853701,6.2,89.0,90.0,605.0,2024-09-18,2024-09-29
Aideen,Warlock,dps,Affliction,2920,Nexus-Princess Ky'veza,Nerub-ar Palace,3,Normal,4,802428,1024896,1024896,27.7,75.5,96.0,605.5,2024-09-11,2024-10-02
Jumzo,Paladin,dps,Retribution,2920,Nexus-Princess Ky'veza,Nerub-ar Palace,3,Normal,4,802018,1268379,1268379,58.1,72.5,98.0,614.5,2024-09-15,2024-11-03
Larssonoker,Evoker,dps,Devastation,2920,Nexus-Princess Ky'veza,Nerub-ar Palace,3,Normal,3,800145,836927,836927,4.6,92.0,92.0,597.0,2024-09-15,2024-09-18
