player_name,player_class,realm,role,primary_spec,kills_tracked,avg_throughput_per_second,best_throughput_per_second,avg_rank_percent,best_rank_percent,avg_item_level,last_seen_date
Maxzor,Hunter,TwistingNether,dps,Marksmanship,14,3297,4629,25.2,41.0,200.8,2021-04-04
Sangpeur,Warlock,Hyjal,dps,Destruction,7,3281,5228,13.6,19.0,204.6,2021-08-29
Kamirov,DeathKnight,BurningLegion,dps,Unholy,14,3278,4712,22.1,32.0,206.0,2021-03-14
Coodyy,Warlock,Magtheridon,dps,Affliction,12,3204,5288,22.1,37.0,195.0,2021-04-11
Urkraft,Hunter,Pozzodell'Eternità,dps,BeastMastery,2,3198,3290,54.0,62.0,214.0,2021-03-12
Drielthres,Warrior,TwistingNether,dps,Fury,2,3189,4039,42.5,81.0,226.0,2021-04-11
Dion,Hunter,TwistingNether,dps,Marksmanship,29,3170,5691,34.9,79.0,200.7,2021-03-21
Durexak,Monk,Drak'thul,dps,Windwalker,2,3162,5265,29.0,55.0,233.0,2021-08-10
Alienso,Mage,TwistingNether,dps,Arcane,6,3154,4442,46.5,74.0,213.3,2021-03-28
Hemerä,Priest,TwistingNether,dps,Shadow,11,3124,4372,36.6,57.0,204.6,2021-02-07
Reyratfk,Mage,TarrenMill,dps,Arcane,5,3118,4259,25.0,41.0,200.8,2021-09-02
Rainasu,DemonHunter,TwistingNether,dps,Havoc,3,3115,3448,63.0,69.0,195.3,2021-02-21
Slìnks,DemonHunter,TwistingNether,dps,Havoc,7,3113,4351,37.7,55.0,201.9,2021-02-07
Mecki,Hunter,ShatteredHand,dps,Marksmanship,2,3081,5230,26.0,51.0,240.0,2021-09-02
Pippiw,Warrior,TarrenMill,dps,Arms,3,3080,3399,27.7,47.0,202.0,2021-03-12
Acala,Mage,Turalyon,dps,Fire,3,3064,3273,21.7,25.0,211.0,2021-04-14
Razlokj,Warlock,Anetheron,dps,Demonology,2,3059,5125,22.5,44.0,222.0,2021-08-10
Losttauron,Shaman,Magtheridon,dps,Elemental,5,3046,4148,52.6,62.0,197.0,2021-03-25
Bellatrikx,Warlock,Thrall,dps,Destruction,1,3029,3029,46.0,46.0,203.0,2021-04-18
Catshet,Druid,Kazzak,dps,Feral,2,3024,4191,21.0,22.0,210.0,2021-04-04
Dbway,Mage,Kazzak,dps,Fire,2,3015,3669,30.0,43.0,213.0,2021-03-12
Mailie,Hunter,Arthas,dps,Marksmanship,1,2980,2980,7.0,7.0,217.0,2021-04-04
Rudisha,Hunter,Thrall,dps,BeastMastery,1,2876,2876,32.0,32.0,212.0,2021-04-18
Steffensen,DeathKnight,Draenor,dps,Unholy,5,2846,4141,19.2,49.0,201.0,2021-03-12
Liinkiin,Mage,Kazzak,dps,Fire,2,2803,4528,23.0,44.0,238.0,2021-08-10
Shamanozza,Shaman,Nemesis,dps,Elemental,5,2786,3513,41.4,55.0,196.6,2021-03-25
Imigen,Hunter,TwistingNether,dps,Survival,17,2770,3897,33.6,71.0,188.8,2021-02-14
Woknpho,Monk,TwistingNether,dps,Windwalker,10,2754,4082,48.5,66.0,201.2,2021-01-31
Ibimsjäger,Hunter,Blackrock,dps,Marksmanship,5,2750,3889,18.0,32.0,202.0,2021-02-07
Gizmokaka,Warrior,Mazrigos,dps,Fury,10,2734,3755,10.5,16.0,223.8,2021-08-08
Raidbuff,DemonHunter,TwistingNether,dps,Havoc,13,2723,4197,23.1,54.0,193.6,2021-03-14
Topwarrior,Warrior,Blackrock,dps,Fury,5,2706,3569,53.4,76.0,199.2,2021-03-25
Fireraizel,Mage,TwistingNether,dps,Fire,33,2700,4247,28.2,68.0,208.5,2021-04-07
Aliafee,Druid,Blackrock,dps,Balance,2,2697,3378,26.5,39.0,205.0,2021-03-12
Bashin,Warrior,TwistingNether,dps,Arms,9,2694,3759,49.0,90.0,200.7,2021-01-31
Norodk,DeathKnight,TwistingNether,dps,Unholy,1,2677,2677,14.0,14.0,200.0,2021-04-18
Dârêk,Mage,Blackrock,dps,Fire,7,2573,3280,23.4,39.0,194.0,2021-02-07
Yurmuk,Monk,Kazzak,dps,Windwalker,1,2509,2509,17.0,17.0,192.0,2021-03-07
Benzo,DemonHunter,Aggramar,dps,Havoc,3,2505,4062,21.0,36.0,183.0,2021-04-04
Gothwarr,Warrior,Draenor,dps,Arms,9,2504,3868,21.1,36.0,193.3,2021-03-07
Twinxed,Monk,Draenor,dps,Windwalker,5,2491,3306,58.0,81.0,192.6,2021-03-25
Abfahrer,Warlock,Blackmoore,dps,Demonology,5,2486,3303,43.2,55.0,185.8,2021-03-25
Ryaio,Shaman,EarthenRing,dps,Elemental,3,2459,3797,8.0,16.0,241.0,2021-08-15
Artaxius,Warrior,TwistingNether,dps,Fury,2,2424,3830,37.0,64.0,205.0,2021-03-12
Myllykeisari,Warrior,Stormreaver,dps,Fury,1,2396,2396,45.0,45.0,216.0,2021-04-04
Aktakniv,Rogue,TwistingNether,dps,Assassination,1,2343,2343,5.0,5.0,213.0,2021-08-15
Delfinarios,Mage,Magtheridon,dps,Fire,5,2252,2492,31.6,42.0,193.0,2021-03-25
Hartreit,Warrior,Sylvanas,dps,Fury,2,2231,3727,33.5,60.0,219.0,2021-03-12
Kubarmate,Mage,TwistingNether,dps,Arcane,3,2167,2483,34.3,38.0,190.0,2021-03-25
Aggu,Rogue,Ragnaros,dps,Outlaw,1,2162,2162,9.0,9.0,210.0,2021-03-12
Hakketkål,Shaman,Stormscale,dps,Elemental,5,2160,2530,19.4,24.0,197.8,2021-03-25
Chillingbruv,DeathKnight,Kazzak,dps,Unholy,3,2159,2495,7.3,8.0,152.0,2021-03-07
Alexidabstar,Mage,TwistingNether,dps,Fire,5,2087,2547,25.4,41.0,198.0,2021-03-25
