player_name,player_class,total_deaths,kills_tracked,deaths_per_kill,most_common_killing_blow,most_common_killing_blow_count,zones_died_in,last_death_timestamp_ms
Enjxi,DeathKnight,204,1,204.0,Reckless Impact,38,"[""Nerub-ar Palace""]",8291460
Olegrip,DeathKnight,36,1,36.0,Oblivion,14,"[""Manaforge Omega""]",6177582
Amzbot,DeathKnight,32,0,32.0,Venom Nova,3,"[""Nerub-ar Palace""]",7407775
Lyonarise,Warrior,27,1,27.0,Null Binding,5,"[""Manaforge Omega""]",5909661
Delvur,Paladin,77,5,15.4,Canister Detonation,16,"[""Liberation of Undermine"",""Manaforge Omega""]",5260332
Benspala,Paladin,30,2,15.0,Canister Detonation,4,"[""Nerub-ar Palace"",""Liberation of Undermine""]",5260516
Milpojizzu,DeathKnight,26,2,13.0,Stars Collide,6,"[""Manaforge Omega""]",5879025
Overated,Paladin,13,0,13.0,Oblivion,7,"[""Manaforge Omega""]",6193403
Pirogochek,Monk,11,0,11.0,Canister Detonation,3,"[""Liberation of Undermine""]",3789304
Miaomiao,Monk,11,1,11.0,Oblivion,5,"[""Manaforge Omega""]",5309698
Markerr,Druid,10,0,10.0,Zagging Zizzler,5,"[""Liberation of Undermine""]",3799934
Flaylock,Warlock,10,0,10.0,Paralyzing Waves,3,"[""Nerub-ar Palace""]",3401299
Anastherion,Mage,10,0,10.0,Canister Detonation,5,"[""Liberation of Undermine""]",3809317
Olesmash,Warrior,10,0,10.0,Devour,2,"[""Manaforge Omega""]",4102706
Tunaicecrëam,Warlock,18,2,9.0,Stars Collide,4,"[""Manaforge Omega""]",3824559
Deloop,Shaman,18,2,9.0,Stars Collide,6,"[""Manaforge Omega""]",4222481
Rosswl,Warlock,9,0,9.0,Shadowgate,5,"[""Nerub-ar Palace""]",4406053
Deadrasta,DeathKnight,9,0,9.0,Canister Detonation,2,"[""Liberation of Undermine""]",3549626
Swoltide,Shaman,15,2,7.5,Firewall,3,"[""Blackrock Depths""]",5131473
Borpaspin,Shaman,49,7,7.0,Reactive Froth,6,"[""Nerub-ar Palace""]",7021425
